BL_color_ID,BL_name,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,LEGO,LDraw,BrickLink,BrickOwl
93,'Light Purple',69,Light Purple,CD6298,102,38,2003,2006,"198 ['Bright Reddish Lilac', 'BR. RED. LILAC']",69 ['Light_Purple'],93 ['Light Purple'],69 ['Light Purple']
104,'Bright Pink',29,Bright Pink,E4ADC8,19081,6161,2003,2026,"222 ['Light Purple', 'LGH. PURPLE']",29 ['Bright_Pink'],104 ['Bright Pink'],45 ['Bright Pink']
107,'Trans-Pink',230,Trans-Pink,E4ADC8,434,181,2003,2006,230 ['TR. BR. PURPLE'],45 ['Trans_Pink'],107 ['Trans-Pink'],106 ['Transparent Pink']
,,1099,Glitter Trans-Pink,E4ADC8,2,1,2005,2005,301 ['Trans Bright Purple w/ Glitter'],,,
47,'Dark Pink',5,Dark Pink,C870A0,16487,5102,2003,2026,"221 ['Bright Purple', 'BR. PURPLE']",5 ['Dark_Pink'],47 ['Dark Pink'],17 ['Dark Pink']
224,'Satin Trans-Dark Pink',1054,Opal Trans-Dark Pink,CE1D9B,255,90,2020,2026,"364 ['Transparent Medium Reddish Violet with Opalescence', 'Tr.M.Violet Opa']",364 ['Opal_Trans_Dark_Pink'],224 ['Satin Trans-Dark Pink'],199 ['Transparent Dark Pink Opal']
71,'Magenta',26,Magenta,923978,13937,4849,2000,2026,"124 ['Bright reddish violet', 'BR.RED-VIOL.']",26 ['Magenta'],71 ['Magenta'],72 ['Magenta']
82,'Chrome Pink',63,Chrome Pink,AA4D8E,19,12,2001,2018,,63 ['Chrome_Pink'],82 ['Chrome Pink'],114 ['Chrome Pink']
24,'Purple',22,Purple,81007B,1005,318,1997,2005,"104 ['Bright violet', 'BR. VIOLET']",22 ['Purple'],24 ['Purple'],4 ['Purple']
54,'Sand Purple',373,Sand Purple,845E84,73,21,2001,2003,136 ['Sand violet'],373 ['Sand_Purple'],54 ['Sand Purple'],86 ['Sand Purple']
227,'Clikits Lavender',1007,Reddish Lilac,8E5597,50,23,2004,2007,218 ['RED. LILAC'],218 ['Reddish_Lilac'],227 ['Clikits Lavender'],223 ['Very Light Purple']
114,'Trans-Light Purple',236,Trans-Light Purple,96709F,71,37,2000,2006,"284 ['TR. RED-LILAC', 'TR. RE-LILAC']",44 ['Trans_Light_Purple'] 284 ['Trans_Light_Purple'],114 ['Trans-Light Purple'],26 ['Transparent Light Purple']
157,'Medium Lavender',30,Medium Lavender,AC78BA,10339,3409,2011,2026,"324 ['Medium Lavender', 'MEDIUM LAVENDEL']",30 ['Medium_Lavender'],157 ['Medium Lavender'],76 ['Medium Lavender']
230,'Satin Trans-Purple',1059,Opal Trans-Purple,8320B7,321,114,2020,2026,365 ['Tr.Violet Opal'],365 ['Opal_Trans_Purple'],230 ['Satin Trans-Purple'],203 ['Transparent Purple Opal']
216,'Mx Foil Violet',1046,Modulex Foil Violet,4B0082,1,1,1963,1963,,,216 ['Mx Foil Violet'],
154,'Lavender',31,Lavender,E1D5ED,8881,2413,2011,2026,325 ['Lavender'],31 ['Lavender'],154 ['Lavender'],36 ['Lavender']
,,1101,Duplo Dark Purple,5F27AA,1,1,2003,2003,197 ['Bright Lilac'],,,
,,1097,Glitter Trans-Medium Purple,8D73B3,6,3,2005,2005,303 ['Trans Br Reddish Lilac w/ Glitter'],,,
234,'Trans-Medium Purple',1094,Trans-Medium Purple,8D73B3,258,92,2003,2006,236 ['Transparent Bright Reddish Lilac'],,234 ['Trans-Medium Purple'],107 ['Transparent Purple']
128,'Mx Black',1018,Modulex Black,4D4C52,2499,310,1963,1963,,,128 ['Mx Black'],136 ['Modulex Black']
89,'Dark Purple',85,Dark Purple,3F3691,17413,6098,2000,2026,"268 ['Medium Lilac', 'M. LILAC']",85 ['Medium_Lilac'],89 ['Dark Purple'],55 ['Dark Purple']
245,'Lilac',1001,Medium Violet,9391E4,13,13,2000,2007,219 ['Lilac'],219 ['Lilac'] 112 ['Medium_Violet'],245 ['Lilac'],221 ['Lilac']
102,'Glitter Trans-Purple',129,Glitter Trans-Purple,A5A5CB,169,74,2000,2025,"129 ['Tr. Bright Bluish Violet w. Glitter 2%', 'TR.BR.BL.V.G']",129 ['Glitter_Trans_Purple'],102 ['Glitter Trans-Purple'],22 ['Transparent Purple Glitter']
51,'Trans-Purple',52,Trans-Purple,A5A5CB,3095,878,2000,2026,"126 ['Tr. Bright bluish violet', 'TR.KL.BL.VIO']",52 ['Trans_Purple'],51 ['Trans-Purple'],107 ['Transparent Purple']
44,'Light Violet',20,Light Violet,C9CAE2,186,125,1994,2002,"39 ['Light bluish violet', 'L.BLUEVIOL']",20 ['Light_Violet'],44 ['Light Violet'],16 ['Light Violet']
174,'Blue Violet',1147,Blue Violet,A3A9FF,876,199,2026,2026,431 ['Blue Violet'],431 ['Bright_Blue_Violet'],174 ['Blue Violet'],257 ['Blue Violet']
246,'Light Lilac',1093,Light Lilac,9195CA,51,19,2003,2011,220 ['Light Lilac'],,246 ['Light Lilac'],16 ['Light Violet']
109,'Dark Blue-Violet',23,Dark Blue-Violet,2032B0,9,9,2004,2006,"196 ['Dark Royal blue', 'DK. R.BLUE']",23 ['Dark_Blue_Violet'],109 ['Dark Blue-Violet'],49 ['Dark Royal Blue']
73,'Medium Violet',112,Medium Bluish Violet,6874CA,62,54,1999,2004,"112 ['Medium Bluish Violet', 'ML.BLUEVIOL'] 213 ['Medium Royal Blue']",112 ['Medium_Violet'],73 ['Medium Violet'],78 ['Medium Violet']
97,'Royal Blue',89,Royal Blue,4C61DB,191,68,2004,2005,195 ['R. BLUE'],89 ['Blue_Violet'],97 ['Royal Blue'],40 ['Royal Blue']
232,'Satin Trans-Dark Blue',1061,Opal Trans-Dark Blue,0020A0,216,55,2021,2026,366 ['Transparent Blue With Opalescence'],10366 ['Opal_Trans_Dark_Blue'],232 ['Satin Trans-Dark Blue'],209 ['Transparent Dark Blue Opal']
14,'Trans-Dark Blue',33,Trans-Dark Blue,0020A0,10724,3315,1965,2026,"43 ['Tr. Blue', 'TR.BLUE']",33 ['Trans_Dark_Blue'],14 ['Trans-Dark Blue'],98 ['Transparent Dark Blue']
43,'Violet',110,Violet,4354A3,191,119,1992,2008,"110 ['Bright Bluish Violet', 'BR.BLUEVIOL']",110 ['Violet'],43 ['Violet'],15 ['Violet']
124,'Mx Light Bluish Gray',1014,Modulex Light Bluish Gray,AfB5C7,10,10,1963,1963,,,124 ['Mx Light Bluish Gray'],28 ['Modulex Medium Stone Gray']
244,'Pearl Black',1073,Pearl Black,0A1327,35,19,2000,2006,"149 ['Metallic Black', 'MET.BLACK']",83 ['Pearl_Black'],244 ['Pearl Black'],185 ['Pearl Black']
55,'Sand Blue',379,Sand Blue,6074A1,10705,2908,2001,2026,135 ['Sand blue'],379 ['Sand_Blue'],55 ['Sand Blue'],85 ['Sand Blue']
78,'Pearl Sand Blue',137,Pearl Sand Blue,7988A1,172,78,2000,2006,"145 ['Sand blue metallic', 'MET.SAND.BLU']",137 ['Metal_Blue'],78 ['Pearl Sand Blue'],118 ['Metallic Blue']
,,1123,HO Medium Blue,7396c8,2,2,1958,1958,,,,
7,'Blue',1,Blue,0055BF,208795,50348,1949,2027,"23 ['Bright Blue', 'BR.BLUE']",1 ['Blue'],7 ['Blue'],39 ['Blue']
42,'Medium Blue',73,Medium Blue,5A93DB,13324,3513,1997,2026,"102 ['Medium blue', 'MD.BLUE']",73 ['Medium_Blue'],42 ['Medium Blue'],14 ['Medium Blue']
63,'Dark Blue',272,Dark Blue,0A3463,54441,15682,1999,2027,140 ['Earth blue'] 428 ['Earth Blue V.3.'],272 ['Dark_Blue'],63 ['Dark Blue'],48 ['Dark Blue']
,,1109,HO Dark Blue,0A3463,9,9,1958,1965,,,,
,,1006,Trans-Light Royal Blue,B4D4F7,90,48,2005,2005,"293 ['TR. L.ROYAL BLUE', 'TR.L.ROYAL BLUE']",293 ['Trans_Light_Blue_Violet'],,163 ['Transparent Light Royal Blue']
74,'Trans-Medium Blue',143,Trans-Medium Blue,CFE2F7,704,250,2001,2018,"143 ['Tr. Flu. Blue', 'TR.FL. BLUE']",41 ['Trans_Medium_Blue'],74 ['Trans-Medium Blue'],102 ['Transparent Medium Blue']
144,'Mx Medium Blue',1035,Modulex Medium Blue,61AFFF,8,8,1963,1963,,,144 ['Mx Medium Blue'],144 ['Modulex Medium Blue']
,,1131,HO Sand Blue,6e8aa6,2,2,1957,1958,,,,
105,'Bright Light Blue',212,Bright Light Blue,9FC3E9,9927,2979,2004,2026,"212 ['Light Royal blue', 'LGH. ROY. BLUE']",212 ['Bright_Light_Blue'],105 ['Bright Light Blue'],42 ['Bright Light Blue']
143,'Mx Tile Blue',1034,Modulex Tile Blue,0057A6,80,79,1963,1963,,,143 ['Mx Tile Blue'],34 ['Modulex Tile Blue']
214,'Mx Foil Dark Blue',1044,Modulex Foil Dark Blue,0057A6,1,1,1963,1963,,,214 ['Mx Foil Dark Blue'],
52,'Chrome Blue',61,Chrome Blue,6C96BF,26,16,1998,2006,,61 ['Chrome_Blue'],52 ['Chrome Blue'],112 ['Chrome Blue']
254,'Pearl Blue',1070,Pearl Blue,0059A3,21,16,2003,2009,"185 ['Metallic Bright Blue', 'MET. BR. BLUE']",185 ['Metallic_Bright_Blue'],254 ['Pearl Blue'],189 ['Pearl Blue']
62,'Light Blue',9,Light Blue,B4D2E3,43,34,1995,2007,45 ['Light blue'],9 ['Light_Blue'],62 ['Light Blue'],63 ['Light Blue']
113,'Trans-Aqua',43,Trans-Very Lt Blue,C1DFF0,232,76,2003,2006,"229 ['Transparent Light Bluish Green', 'TR. LGH. BL. GR']",39 ['Trans_Very_Light_Blue'],113 ['Trans-Aqua'],25 ['Transparent Very Light Blue']
72,'Maersk Blue',313,Maersk Blue,3592C3,469,101,1974,2006,,313 ['Maersk_Blue'],72 ['Maersk Blue'],71 ['Maersk Blue']
,,1128,HO Metallic Sand Blue,5f7d8c,1,1,1958,1958,,,,
153,'Dark Azure',321,Dark Azure,078BC9,17684,5951,2011,2027,321 ['Dark Azur'],321 ['Dark_Azure'],153 ['Dark Azure'],47 ['Dark Azure']
,,1105,HO Azure,1591cb,1,1,1963,1963,,,,
,,1125,HO Metallic Blue,0d4763,3,3,1958,1961,,,,
215,'Mx Foil Light Blue',1045,Modulex Foil Light Blue,68AECE,1,1,1963,1963,,,215 ['Mx Foil Light Blue'],
145,'Mx Pastel Blue',1036,Modulex Pastel Blue,68AECE,19,19,1963,1963,,,145 ['Mx Pastel Blue'],145 ['Modulex Pastel Blue']
,,1107,HO Cyan,5b98b3,1,1,1958,1958,,,,
146,'Mx Teal Blue',1033,Modulex Teal Blue,467083,1104,15,1963,1963,,,146 ['Mx Teal Blue'],149 ['Modulex Teal Blue']
87,'Sky Blue',232,Sky Blue,7DBFDD,131,62,2003,2007,"232 ['Dove blue', 'DO. BLUE']",232 ['Sky_Blue'],87 ['Sky Blue'],88 ['Sky Blue']
,,1106,HO Blue-gray,354e5a,3,3,1958,1970,,,,
,,1075,Duplo Medium Blue,3E95B6,1,1,2004,2004,269 ['Tiny-Medium Blue'],,,
247,'Little Robots Blue',1074,Duplo Blue,009ECE,6,6,2003,2004,188 ['Tiny Blue'],,247 ['Little Robots Blue'],
,,1008,Vintage Blue,039CBD,24,4,1949,1949,,,,
72,'Maersk Blue',1051,Pastel Blue,5AC4DA,734,101,2005,2011,"11 ['Pastel Blue', 'PASTBLU']",,72 ['Maersk Blue'],71 ['Maersk Blue']
156,'Medium Azure',322,Medium Azure,36AEBF,31242,10744,2012,2026,"322 ['Medium Azure', 'MEDIUM AZUR'] 491 []",322 ['Medium_Azure'],156 ['Medium Azure'],73 ['Medium Azure']
40,'Light Turquoise',11,Light Turquoise,55A5AF,164,78,1998,2004,"116 ['Med. bluish green', 'MD.BL-GREEN']",11 ['Light_Turquoise'],40 ['Light Turquoise'],12 ['Light Turquoise']
162,'Glitter Trans-Light Blue',1003,Glitter Trans-Light Blue,68BCC5,91,43,2015,2024,"302 ['PCTR LI.BLUE W/', 'TR LI.BLUE W/']",302 ['Glitter_Trans_Light_Blue'],162 ['Glitter Trans-Light Blue'],165 ['Transparent Light Blue Glitter']
223,'Satin Trans-Light Blue',1053,Opal Trans-Light Blue,68BCC5,1017,296,2020,2026,"362 ['Transparent Blue Opal', 'TR.BLUE OPAL']",362 ['Opal_Trans_Light_Blue'],223 ['Satin Trans-Light Blue'],175 ['Transparent Blue Opal']
39,'Dark Turquoise',3,Dark Turquoise,008F9B,24040,6459,1973,2026,"107 ['Bright bluish green', 'BR.BLUEGREEN']",3 ['Dark_Turquoise'],39 ['Dark Turquoise'],58 ['Dark Turquoise']
,,1115,HO Dark Turquoise,10929d,1,1,1965,1965,,,,
15,'Trans-Light Blue',41,Trans-Light Blue,AEEFEC,33147,9495,1985,2026,"42 ['Tr. Lg blue', 'TR.L.BLUE', 'TR. LIGHT BLUE']",43 ['Trans_Medium_Blue'],15 ['Trans-Light Blue'],101 ['Transparent Light Blue']
142,'Mx Aqua Green',1032,Modulex Aqua Green,27867E,16,16,1963,1963,,,142 ['Mx Aqua Green'],135 ['Modulex Aqua Green']
152,'Light Aqua',323,Light Aqua,ADC3C0,10819,3125,2011,2026,323 ['Aqua'],323 ['Light_Aqua'],152 ['Light Aqua'],62 ['Light Aqua']
,,1104,HO Aqua,B3D7D1,1,1,1958,1958,,,,
41,'Aqua',118,Aqua,B3D7D1,322,130,1998,2006,"118 ['Light bluish green', 'L.BLUE-GREEN']",118 ['Aqua'],41 ['Aqua'],13 ['Aqua']
,,1090,Duplo Turquoise,3FB69E,2,2,2003,2003,,,,
,,1108,HO Dark Aqua,a7dccf,1,1,1958,1958,,,,
,,1118,HO Light Aqua,a3d1c0,1,1,1958,1958,,,,
,,1111,HO Dark Green,184632,4,4,1958,1964,,,,
80,'Dark Green',288,Dark Green,184632,27402,6495,1999,2026,"141 ['Earth Green', 'EARTH GREEN']",288 ['Dark_Green'],80 ['Dark Green'],20 ['Dark Green']
64,'Chrome Green',62,Chrome Green,3CB371,2,2,1999,1999,,62 ['Chrome_Green'],64 ['Chrome Green'],113 ['Chrome Green']
37,'Medium Green',74,Medium Green,73DCA1,572,309,1994,2005,"29 ['Medium green', 'MD.GREEN']",74 ['Medium_Green'],37 ['Medium Green'],10 ['Medium Green']
253,'Pearl Green',1071,Pearl Green,008E3C,21,15,2003,2006,"186 ['Metallic Dark Green', 'MET. DK. GREEN']",186 ['Metallic_Dark_Green'],253 ['Pearl Green'],183 ['Pearl Green']
48,'Sand Green',378,Sand Green,A0BCAC,26319,5448,2000,2026,151 ['Sand green'],378 ['Sand_Green'],48 ['Sand Green'],18 ['Sand Green']
,,1132,HO Sand Green,A0BCAC,4,4,1958,1964,,,,
,,1078,Duplo Medium Green,468A5F,1,1,2003,2003,210 ['Faded Green'],,,
6,'Green',2,Green,237841,92051,27237,1949,2026,"28 ['Dark green', 'DK.GREEN']",2 ['Green'],6 ['Green'],61 ['Green']
221,'Trans-Light Green',1058,Trans-Light Green,94E5AB,42,16,2005,2006,285 ['Transparent Light Green'],285 ['TranS_Light_Green'],221 ['Trans-Light Green'],191 ['Transparent Light Green']
,,1079,Duplo Light Green,60BA76,1,1,2004,2004,233 ['Light Faded Green'],,,
,,1098,Glitter Trans-Green,84B68D,1,1,2000,2000,155 ['Transparent Green with Glitter'] 175 ['Transparent Green with Glitter'],,,
20,'Trans-Green',34,Trans-Green,84B68D,5453,2287,1969,2026,"48 ['Tr. Green', 'TR.GREEN']",34 ['Trans_Green'],20 ['Trans-Green'],100 ['Transparent Green']
233,'Satin Trans-Bright Green',1060,Opal Trans-Bright Green,84B68D,182,26,2021,2026,367 ['Transparent Green With Opalescence'],367 ['Opal_Trans_Green'],233 ['Satin Trans-Bright Green'],207 ['Transparent Green Opal']
212,'Mx Foil Dark Green',1042,Modulex Foil Dark Green,006400,1,1,1963,1963,,,212 ['Mx Foil Dark Green'],
,,1009,Vintage Green,1E601E,32,8,1949,1949,,,,
248,'Fabuland Lime',1077,Fabuland Lime,78FC78,16,15,1982,1986,14 ['Pastel Green'],510 ['Fabuland_Pastel_Green'],248 ['Fabuland Lime'],
,,1114,HO Dark Sand Green,627a62,1,1,1958,1958,,,,
36,'Bright Green',10,Bright Green,4B9F4A,28483,8638,1949,2026,"37 ['Bright Green', 'BR.GREEN']",10 ['Bright_Green'],36 ['Bright Green'],41 ['Bright Green']
38,'Light Green',17,Light Green,C2DAB8,166,125,1992,2005,"6 ['Light green', 'L.GREEN']",17 ['Light_Green'],38 ['Light Green'],11 ['Light Green']
213,'Mx Foil Light Green',1043,Modulex Foil Light Green,7DB538,1,1,1963,1963,,,213 ['Mx Foil Light Green'],
141,'Mx Pastel Green',1030,Modulex Pastel Green,7DB538,35,34,1963,1963,,,141 ['Mx Pastel Green'],33 ['Modulex Pastel Green']
118,'Glow In Dark Trans',294,Glow In Dark Trans,BDC6AD,131,43,2005,2011,"294 ['Phosphorescent Green', 'PH.GREEN']",294 ['Glow_In_Dark_Trans'],118 ['Glow In Dark Trans'],128 ['Glow in the Dark Transparent']
,,1127,HO Metallic Green,879867,1,1,1958,1958,,,,
117,'Speckle DBGray-Silver',76,Speckle DBGray-Silver,6C6E68,12,9,2006,2006,304 ['CO. SILVER DIF'],76 ['Speckle_Dark_Bluish_Gray_Silver'],117 ['Speckle DBGray-Silver'],134 ['Speckle Gray']
140,'Mx Olive Green',1031,Modulex Olive Green,7C9051,1111,21,1963,1963,,,140 ['Mx Olive Green'],32 ['Modulex Olive Green']
226,'Trans-Light Bright Green',1057,Trans-Light Bright Green,C9E788,119,48,2003,2006,"227 ['Transparent Bright Yellowish Green', 'TR. BR. YEL GR']",227 ['Trans_Bright_Light_Green'],226 ['Trans-Light Bright Green'],205 ['Transparent Light Bright Green']
,,1086,Pearl Lime,6A7944,41,39,2002,2004,200 ['Lemon Metallic'],200 ['Lemon_Metallic'],,125 ['Metallic Green']
70,'Metallic Green',81,Metallic Green,899B5F,24,14,2001,2002,,81 ['Metallic_Green'],70 ['Metallic Green'],125 ['Metallic Green']
163,'Glitter Trans-Neon Green',1002,Glitter Trans-Neon Green,C0F500,9,8,2015,2018,339 ['TR.FL.GRE W/GLI'],339 ['Glitter_Trans_Neon_Green'],163 ['Glitter Trans-Neon Green'],167 ['Transparent Neon Green Glitter']
166,'Neon Green',1141,Neon Green,D2FC43,25,15,1997,1999,134 ['Neon Green'],,166 ['Neon Green'],
34,'Lime',27,Lime,BBE90B,46418,15153,2000,2026,"119 ['Br. yellowish green', 'BR.YEL-GREEN', 'BRIGHT YELLOWISH GREEN']",27 ['Lime'],34 ['Lime'],70 ['Lime']
158,'Yellowish Green',158,Yellowish Green,DFEEA5,3946,1151,2006,2026,"326 ['Spring Yellow Green', 'SPR. YELL. GREE']",326 ['Yellowish_Green'],158 ['Yellowish Green'],94 ['Yellowish Green']
,,1096,Glitter Trans-Bright Green,D9E4A7,0,0,,,351 ['Transparent Bright Green w/ Glitter'],,,
35,'Light Lime',120,Light Lime,D9E4A7,29,21,1998,2008,"120 ['Lig. yellowish green', 'L.YEL-GREEN']",120 ['Light_Lime'],35 ['Light Lime'],67 ['Light Lime']
108,'Trans-Bright Green',35,Trans-Bright Green,D9E4A7,3739,1333,2010,2026,"311 ['Transparent Bright Green', 'TR. BR. GREEN']",35 ['Trans_Bright_Green'],108 ['Trans-Bright Green'],96 ['Transparent Bright Green']
76,'Medium Lime',115,Medium Lime,C7D23C,192,105,1998,2005,"115 ['Med. yellowish green', 'MD.YEL-GREEN']",115 ['Medium_Lime'],76 ['Medium Lime'],77 ['Medium Lime']
,,1122,HO Light Yellow,f5fab7,1,1,1958,1958,,,,
139,'Mx Lemon',1029,Modulex Lemon,BDC618,23,23,1963,1963,,,139 ['Mx Lemon'],140 ['Modulex Lemon']
,,1112,HO Dark Lime,b2b955,1,1,1958,1958,,,,
,,1110,HO Dark Gray,6D6E5C,11,11,1961,1964,,,,
,,1129,HO Olive Green,9B9A5A,14,14,1957,1965,,,,
155,'Olive Green',326,Olive Green,9B9A5A,12095,2630,2010,2026,"330 ['Olive Green', 'OLIVE GREEN']",330 ['Olive_Green'],155 ['Olive Green'],79 ['Olive Green']
242,'Dark Olive Green',1142,Dark Olive Green,5d5c36,11,2,2000,2001,144 ['Dark Army Green'],,242 ['Dark Olive Green'],
171,'Lemon',1076,Duplo Lime,FFF230,5,3,1992,1992,15 ['Lemon'],,171 ['Lemon'],67 ['Light Lime']
16,'Trans-Neon Green',42,Trans-Neon Green,F8F184,6803,2339,1990,2024,"49 ['Tr. Flu. Green', 'TR.FL.GREEN']",42 ['Trans_Neon_Green'],16 ['Trans-Neon Green'],103 ['Transparent Neon Green']
236,'Neon Yellow',1062,Vibrant Yellow,EBD800,2265,698,2022,2026,368 ['Vibrant Yellow'],368 ['Vibrant_Yellow'],236 ['Neon Yellow'],211 ['Vibrant Yellow']
103,'Bright Light Yellow',226,Bright Light Yellow,FFF03A,12495,3997,2004,2026,"226 ['Cool Yellow', 'COOL YEL.', 'COMPD. COOL YELLOW V.3']",226 ['Bright_Light_Yellow'],103 ['Bright Light Yellow'],44 ['Bright Light Yellow']
,,1121,HO Light Tan,f9f1c7,4,4,1958,1964,,,,
21,'Chrome Gold',334,Chrome Gold,BBA53D,2202,855,1989,2026,310 ['Metalized Gold'],334 ['Chrome_Gold'],21 ['Chrome Gold'],2 ['Chrome Gold']
,,1005,Trans-Fire Yellow,FBE890,41,16,2003,2006,234 ['TR. FIRE YELL'],234 ['Trans_Fire_Yellow'],,162 ['Transparent Fire Yellow']
121,'Trans-Neon Yellow',54,Trans-Neon Yellow,DAB000,187,57,2001,2005,157 ['Transparent Fluorescent Yellow'],54 ['Trans_Neon_Yellow'],121 ['Trans-Neon Yellow'],104 ['Transparent Neon Yellow']
,,1011,Vintage Yellow,F3C305,24,4,1949,1949,,,,
,,1100,Clikits Yellow,FFCF0B,22,6,2003,2004,190 ['Fire Yellow'],,,93 ['Yellow']
19,'Trans-Yellow',46,Trans-Yellow,F5CD2F,13418,4522,1969,2026,"44 ['Tr. Yellow', 'TR.YEL']",46 ['Trans_Yellow'],19 ['Trans-Yellow'],109 ['Transparent Yellow']
170,'Satin Trans-Yellow',1139,Opal Trans-Yellow,F5CD2F,27,14,2024,2026,376 ['Tr. Yellow Opal'],,170 ['Satin Trans-Yellow'],247 ['Transparent Yellow Opal']
3,'Yellow',14,Yellow,F2CD37,217541,72703,1949,2026,"24 ['Bright yellow', 'BR.YEL', 'BRIGHT YELLOW, VERSION 2']",14 ['Yellow'],3 ['Yellow'],93 ['Yellow']
137,'Mx Light Yellow',1027,Modulex Light Yellow,FFE371,8,8,1963,1963,,,137 ['Mx Light Yellow'],143 ['Modulex Light Yellow']
33,'Light Yellow',18,Light Yellow,FBE696,340,187,1994,2005,3 ['Light yellow'],18 ['Light_Yellow'],33 ['Light Yellow'],9 ['Light Yellow']
,,1117,HO Gold,b4a774,1,1,1958,1958,,,,
,,1120,HO Light Gold,cdc298,2,2,1957,1958,,,,
138,'Mx Ochre Yellow',1028,Modulex Ochre Yellow,FED557,1107,18,1963,1963,,,138 ['Mx Ochre Yellow'],31 ['Modulex Ochre Yellow']
218,'Mx Foil Yellow',1048,Modulex Foil Yellow,FED557,1,1,1963,1963,,,218 ['Mx Foil Yellow'],
65,'Metallic Gold',82,Metallic Gold,DBAC34,3674,768,1997,2026,"335 ['GOLD INK'] 299 ['W.GOLD, DR.LA.']",82 ['Metallic_Gold'],65 ['Metallic Gold'],124 ['Metallic Gold']
134,'Mx Terracotta',1020,Modulex Terracotta,5C5030,1622,38,1963,1963,,,134 ['Mx Terracotta'],150 ['Modulex Terracotta']
110,'Bright Light Orange',191,Bright Light Orange,F8BB3D,30660,10223,2003,2026,"191 ['Flame yellowish orange', 'FL. YELL-ORA', 'COMPD. FLAME YELLOWISH ORANGE']",191 ['Bright_Light_Orange'],110 ['Bright Light Orange'],43 ['Bright Light Orange']
2,'Tan',19,Tan,E4CD9E,197865,47851,1982,2027,"5 ['Brick yellow', 'BRICK-YEL']",19 ['Tan'],2 ['Tan'],89 ['Tan']
,,1133,HO Tan,E4CD9E,3,3,1957,1964,,,,
69,'Dark Tan',28,Dark Tan,958A73,74628,17920,2000,2026,138 ['Sand yellow'],28 ['Dark_Tan'],69 ['Dark Tan'],57 ['Dark Tan']
115,'Pearl Gold',297,Pearl Gold,AA7F2E,54938,15942,2004,2026,"297 ['Warm Gold', 'W.GOLD']",297 ['Pearl_Gold'],115 ['Pearl Gold'],120 ['Pearl Gold']
61,'Pearl Light Gold',142,Pearl Light Gold,DCBC81,29,28,2000,2005,127 ['Gold'],142 ['Pearl_Light_Gold'],61 ['Pearl Light Gold'],121 ['Pearl Light Gold']
31,'Medium Orange',462,Medium Orange,FFA70B,491,281,1997,2007,"105 ['Br. yellowish orange', 'BR.YELORA']",462 ['Medium_Orange'],31 ['Medium Orange'],7 ['Medium Orange']
